#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         166     2.65566     2.68854  0.00102043
         167     2.65452     2.68833  0.00103445
         168     2.65365     2.68813  0.00104869
         169     2.65305     2.68792  0.00106283
         170     2.65273     2.68771  0.00107654
         171     2.65265     2.68751   0.0010896
         172     2.65281     2.68731  0.00110178
         173      2.6532     2.68711  0.00111291
         174     2.65379     2.68692  0.00112286
         175     2.65457     2.68673  0.00113156
         176     2.65551     2.68656  0.00113895
         177      2.6566     2.68639  0.00114502
         178     2.65782     2.68623  0.00114978
         179     2.65915     2.68607  0.00115327
         180     2.66057     2.68593  0.00115553
         181     2.66207      2.6858  0.00115664
         182     2.66364     2.68568  0.00115667
         183     2.66525     2.68557  0.00115573
         184      2.6669     2.68547  0.00115389
         185     2.66857     2.68537  0.00115126
         186     2.67025     2.68529  0.00114794
         187     2.67194     2.68522  0.00114402
         188     2.67361     2.68516   0.0011396
         189     2.67527     2.68511  0.00113477
         190     2.67691     2.68506  0.00112962
         191     2.67851     2.68503  0.00112422
         192     2.68007       2.685  0.00111867
         193     2.68159     2.68499  0.00111301
         194     2.68307     2.68498  0.00110732
         195     2.68449     2.68497  0.00110164
         196     2.68585     2.68498  0.00109603
         197     2.68714     2.68499  0.00109052
         198     2.68837     2.68501  0.00108515
         199     2.68952     2.68503  0.00107993
         200      2.6906     2.68506  0.00107489
         201     2.69158     2.68509  0.00107003
         202     2.69246     2.68513  0.00106536
         203     2.69323     2.68517  0.00106086
         204     2.69389     2.68521  0.00105652
         205     2.69442     2.68525  0.00105232
         206     2.69482      2.6853  0.00104824
         207     2.69504     2.68535  0.00104423
         208     2.69511     2.68539  0.00104026
         209       2.695     2.68544   0.0010363
         210     2.69472     2.68548  0.00103231
         211     2.69428     2.68553  0.00102825
         212     2.69365     2.68556  0.00102412
         213     2.69286      2.6856  0.00101988
         214     2.69192     2.68563  0.00101554
         215     2.69085     2.68565  0.00101111
         216     2.68968     2.68567   0.0010066
         217     2.68843     2.68568  0.00100204
         218     2.68713     2.68569  0.00099747
         219     2.68582     2.68569 0.000992915
         220     2.68451     2.68569 0.000988416
         221     2.68323     2.68567 0.000984006
         222       2.682     2.68566 0.000979713
         223     2.68083     2.68564 0.000975559
         224     2.67976     2.68561 0.000971556
         225     2.67879     2.68558  0.00096771
         226     2.67793     2.68555 0.000964019
         227     2.67719     2.68551 0.000960475
         228     2.67657     2.68547 0.000957063
         229     2.67607     2.68543 0.000953762
         230      2.6757     2.68539 0.000950554
         231     2.67545     2.68534 0.000947411
         232     2.67533      2.6853  0.00094431
         233     2.67532     2.68526 0.000941228
         234     2.67543     2.68522 0.000938141
         235     2.67565     2.68518 0.000935032
         236     2.67596     2.68514 0.000931885
         237     2.67635      2.6851  0.00092869
         238     2.67681     2.68506  0.00092544
         239     2.67732     2.68503 0.000922135
         240     2.67787       2.685 0.000918776
         241     2.67844     2.68497 0.000915367
         242     2.67903     2.68495 0.000911914
         243     2.67961     2.68493 0.000908426
         244     2.68018     2.68491 0.000904911
         245     2.68073     2.68489 0.000901378
         246     2.68125     2.68488 0.000897836
         247     2.68173     2.68486 0.000894291
         248     2.68217     2.68485 0.000890751
         249     2.68257     2.68484 0.000887221
         250     2.68293     2.68484 0.000883705
         251     2.68325     2.68483 0.000880207
         252     2.68353     2.68483 0.000876729
         253     2.68378     2.68482 0.000873274
