#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -0.80386     -1.4952   0.0182406
         153   -0.799356    -1.49065   0.0186797
         154   -0.798212    -1.48615   0.0190919
         155   -0.800469    -1.48173   0.0194745
         156   -0.806082     -1.4774   0.0198254
         157   -0.814986    -1.47318   0.0201431
         158   -0.827078    -1.46909   0.0204265
         159   -0.842221    -1.46515    0.020675
         160   -0.860247    -1.46137   0.0208886
         161   -0.880969    -1.45776   0.0210676
         162   -0.904148    -1.45434   0.0212129
         163    -0.92954    -1.45112   0.0213257
         164   -0.956888    -1.44811   0.0214075
         165   -0.985917    -1.44531   0.0214603
         166    -1.01636    -1.44273    0.021486
         167    -1.04792    -1.44036    0.021487
         168    -1.08033    -1.43822   0.0214657
         169    -1.11331     -1.4363   0.0214246
         170    -1.14659    -1.43459   0.0213663
         171    -1.17994     -1.4331   0.0212932
         172    -1.21311    -1.43182   0.0212077
         173    -1.24588    -1.43075   0.0211124
         174    -1.27804    -1.42987   0.0210093
         175    -1.30942    -1.42918   0.0209005
         176    -1.33984    -1.42868   0.0207879
         177    -1.36917    -1.42834   0.0206732
         178    -1.39727    -1.42816   0.0205578
         179    -1.42403    -1.42814   0.0204429
         180    -1.44936    -1.42826   0.0203297
         181    -1.47318    -1.42851   0.0202189
         182    -1.49543    -1.42888   0.0201112
         183    -1.51606    -1.42935   0.0200069
         184    -1.53505    -1.42993   0.0199064
         185    -1.55236    -1.43059   0.0198098
         186    -1.56799    -1.43133   0.0197171
         187    -1.58193    -1.43213   0.0196281
         188     -1.5942    -1.43299   0.0195426
         189    -1.60481     -1.4339   0.0194603
         190    -1.61379    -1.43485   0.0193809
         191    -1.62117    -1.43583    0.019304
         192    -1.62699    -1.43682   0.0192291
         193    -1.63129    -1.43783   0.0191558
         194    -1.63411    -1.43884   0.0190838
         195    -1.63552    -1.43985   0.0190126
         196    -1.63557    -1.44085   0.0189418
         197    -1.63433    -1.44183   0.0188711
         198    -1.63187    -1.44279   0.0188002
         199    -1.62826    -1.44372   0.0187288
         200    -1.62358    -1.44462   0.0186567
         201    -1.61793    -1.44548   0.0185838
         202     -1.6114     -1.4463   0.0185099
         203     -1.6041    -1.44708   0.0184351
         204    -1.59615    -1.44781   0.0183592
         205    -1.58767    -1.44849   0.0182823
         206    -1.57882    -1.44913   0.0182045
         207    -1.56977    -1.44971   0.0181259
         208    -1.56065    -1.45024   0.0180466
         209    -1.55165    -1.45073   0.0179667
         210    -1.54293    -1.45117   0.0178866
         211    -1.53467    -1.45156   0.0178062
