0	19.9457	0
100	16.6376	1.65405
200	13.2284	1.93917
300	15.746	1.38787
400	14.6244	1.13152
500	16.9381	0.936022
600	14.8686	0.813184
700	16.1433	0.704471
800	13.414	0.685283
900	15.8287	0.613019
1000	14.1665	0.572592
1100	11.4593	0.626079
1200	15.7318	0.577099
1300	15.0006	0.534682
1400	15.1996	0.497782
1500	17.4019	0.484456
1600	17.264	0.468147
1700	14.2909	0.446503
1800	15.7959	0.422769
1900	14.6286	0.403207
2000	12.3364	0.410601
2100	10.7543	0.442019
2200	14.9747	0.422382
2300	17.9323	0.421737
2400	19.6075	0.44159
2500	13.7652	0.428659
2600	16.4119	0.414545
2700	14.0958	0.401917
2800	16.2987	0.389359
2900	13.9518	0.37894
3000	14.0627	0.368615
3100	13.3744	0.361651
3200	17.0679	0.35514
3300	18.218	0.355489
3400	17.8253	0.352478
3500	16.2727	0.343404
3600	14.7359	0.334511
3700	12.2983	0.3357
3800	11.8369	0.338981
3900	16.6693	0.33234
4000	13.9348	0.325765
4100	14.7953	0.318088
4200	13.9021	0.312127
4300	12.8201	0.309695
4400	12.617	0.307892
4500	15.9363	0.301691
4600	15.7792	0.295551
4700	9.91497	0.308973
4800	13.4462	0.304281
4900	16.4654	0.299613
5000	12.8215	0.296793
5100	17.0579	0.293799
5200	12.9512	0.290797
5300	16.6356	0.28703
5400	12.8543	0.284445
5500	12.2737	0.283405
5600	14.5937	0.278444
5700	15.3426	0.273705
5800	14.5649	0.269091
5900	16.5146	0.265921
6000	13.4216	0.262698
6100	15.1705	0.258461
6200	16.688	0.25588
6300	14.8538	0.251854
6400	21.629	0.268457
6500	16.3122	0.265056
6600	13.3352	0.26234
6700	14.6487	0.258516
6800	14.5724	0.254828
6900	14.9036	0.251167
7000	14.3826	0.247768
7100	17.4441	0.246625
7200	14.4984	0.243339
7300	14.3254	0.240222
7400	18.8796	0.242492
7500	19.0171	0.244821
7600	16.004	0.241885
7700	15.4081	0.238787
7800	17.0118	0.236923
7900	14.3542	0.234166
8000	14.7752	0.231306
8100	17.2932	0.229949
8200	12.8531	0.228889
8300	14.9729	0.226158
8400	15.5653	0.223534
8500	12.7458	0.222692
8600	18.2503	0.223022
8700	9.51224	0.22964
8800	17.0703	0.228121
8900	14.1078	0.225854
9000	15.4374	0.223387
9100	11.776	0.223906
9200	18.7259	0.224931
9300	15.4172	0.222548
9400	12.0784	0.22251
9500	14.269	0.220346
9600	14.0414	0.218325
9700	17.3605	0.217346
9800	13.6795	0.215613
9900	15.3553	0.213464
