#     TEMP:   ACTUAL_TE:    TE_AVE:      ERROR:
           2       -0.44   -0.455901  0.00931779
           2       -0.12   -0.453827  0.00948817
           2       -0.36   -0.453252  0.00944741
           2       -0.28   -0.452195  0.00944868
           2       -0.52   -0.452606  0.00940035
           2       -0.52   -0.453012  0.00935248
           2       -0.44   -0.452934   0.0092968
           2       -0.44   -0.452857  0.00924179
           2       -0.44   -0.452781  0.00918741
           2        -0.6   -0.453647  0.00917409
           2       -0.36   -0.453099  0.00913677
           2        -0.6   -0.453953  0.00912348
           2       -0.68    -0.45526  0.00916383
           2       -0.52   -0.455632  0.00911872
           2       -0.68   -0.456914   0.0091563
           2       -0.36   -0.456364  0.00912082
           2       -0.44   -0.456271  0.00906976
           2       -0.44    -0.45618  0.00901926
           2        -0.6   -0.456983  0.00900459
           2       -0.44   -0.456889  0.00895506
           2       -0.44   -0.456796  0.00890607
           2       -0.68   -0.458022  0.00894118
           2        -0.6   -0.458798  0.00892592
           2       -0.44   -0.458696  0.00887799
           2       -0.36   -0.458162  0.00884602
           2       -0.28   -0.457204  0.00885016
           2       -0.36   -0.456684  0.00881809
           2        -0.6   -0.457447  0.00880407
           2        -0.6   -0.458201  0.00878974
           2       -0.52   -0.458526   0.0087495
           2       -0.68   -0.459686  0.00878019
           2        -0.6   -0.460417  0.00876482
           2       -0.44   -0.460311  0.00872004
           2        -0.6   -0.461031  0.00870477
           2       -0.44   -0.460923   0.0086608
           2       -0.44   -0.460816  0.00861727
           2       -0.36   -0.460305  0.00858871
           2       -0.44   -0.460202  0.00854594
           2        -0.6   -0.460905  0.00853182
           2       -0.28       -0.46  0.00853698
           2       -0.68   -0.461095  0.00856438
           2       -0.44    -0.46099  0.00852262
           2       -0.28   -0.460099  0.00852715
           2        -0.2   -0.458824  0.00858014
           2       -0.36   -0.458341  0.00855181
           2       -0.44   -0.458252  0.00851076
           2       -0.28   -0.457391   0.0085131
           2       -0.44   -0.457308  0.00847258
           2       -0.36   -0.456842  0.00844483
           2       -0.44   -0.456762    0.008405
           2       -0.36   -0.456303  0.00837766
           2       -0.52   -0.456604  0.00834353
           2       -0.52   -0.456901  0.00830967
           2       -0.44   -0.456822  0.00827121
           2       -0.36   -0.456372  0.00824499
           2       -0.52   -0.456667  0.00821208
           2       -0.44    -0.45659   0.0081746
           2       -0.36   -0.456147   0.0081491
           2       -0.36   -0.455708   0.0081237
           2       -0.44   -0.455636  0.00808709
           2       -0.52   -0.455928  0.00805574
           2       -0.44   -0.455856  0.00801977
           2        -0.2   -0.454709  0.00806546
           2       -0.36   -0.454286  0.00804053
           2       -0.12     -0.4528   0.0081409
           2       -0.36   -0.452389  0.00811523
           2       -0.36   -0.451982  0.00808968
           2       -0.28   -0.451228  0.00808929
           2       -0.28    -0.45048  0.00808845
           2       -0.44   -0.450435  0.00805341
           2       -0.44    -0.45039  0.00801867
           2        -0.6   -0.451034     0.00801
           2       -0.44   -0.450987  0.00797576
           2       -0.44    -0.45094  0.00794181
           2       -0.52   -0.451234  0.00791345
           2       -0.28   -0.450508  0.00791312
           2       -0.52   -0.450802  0.00788516
           2       -0.52   -0.451092  0.00785739
           2        -0.6   -0.451715  0.00784917
           2       -0.44   -0.451667  0.00781662
           2       -0.36   -0.451286  0.00779343
           2       -0.44    -0.45124  0.00776137
           2       -0.36   -0.450864  0.00773851
           2       -0.36   -0.450492  0.00771575
           2       -0.76   -0.451755  0.00778699
           2        -0.6   -0.452358  0.00777861
           2       -0.36   -0.451984   0.0077561
           2       -0.36   -0.451613  0.00773369
           2       -0.44   -0.451566  0.00770277
           2        -0.6    -0.45216  0.00769481
           2       -0.52    -0.45243   0.0076689
           2        -0.6   -0.453016  0.00766079
           2       -0.52   -0.453281  0.00763509
           2       -0.52   -0.453543  0.00760955
           2        -0.6   -0.454118  0.00760135
           2       -0.28   -0.453437  0.00760202
           2       -0.36   -0.453074  0.00758113
           2       -0.36   -0.452713  0.00756033
           2       -0.44   -0.452664   0.0075313
           2       -0.36   -0.452308  0.00751076
           2       -0.52   -0.452567  0.00748646
           2       -0.44   -0.452519  0.00745804
           2       -0.44   -0.452471  0.00742983
           2       -0.36   -0.452121  0.00740994
           2       -0.52   -0.452377   0.0073864
           2       -0.52   -0.452632  0.00736301
           2       -0.52   -0.452884  0.00733975
           2       -0.36   -0.452537  0.00732054
           2       -0.52   -0.452788  0.00729762
           2        -0.6   -0.453333  0.00729094
           2        -0.6   -0.453875  0.00728409
           2       -0.68   -0.454706   0.0073046
           2       -0.52   -0.454945  0.00728176
           2       -0.36   -0.454599  0.00726342
           2       -0.68   -0.455418  0.00728311
           2       -0.28   -0.454783   0.0072844
           2       -0.52   -0.455018  0.00726191
           2       -0.28   -0.454388  0.00726302
           2       -0.44   -0.454337  0.00723717
           2       -0.36      -0.454  0.00721916
           2       -0.36   -0.453665  0.00720122
           2       -0.52   -0.453901  0.00717952
           2       -0.44   -0.453852  0.00715432
           2       -0.44   -0.453803   0.0071293
           2       -0.68   -0.454596  0.00714832
           2       -0.44   -0.454545  0.00712351
           2       -0.36   -0.454216   0.0071063
           2        -0.2   -0.453333  0.00713624
           2       -0.28   -0.452734  0.00713671
           2       -0.28   -0.452138  0.00713691
           2       -0.52   -0.452371  0.00711619
           2       -0.68   -0.453151  0.00713439
           2       -0.52   -0.453379  0.00711369
           2        -0.6   -0.453878  0.00710696
           2       -0.44   -0.453831  0.00708302
           2       -0.44   -0.453784  0.00705924
           2       -0.28   -0.453199  0.00705968
           2       -0.44   -0.453154  0.00703613
           2       -0.36   -0.452843   0.0070195
           2       -0.28   -0.452267   0.0070197
           2       -0.28   -0.451694  0.00701967
           2       -0.28   -0.451126  0.00701941
           2        -0.2   -0.450297  0.00704501
           2       -0.52   -0.450526  0.00702556
           2       -0.52   -0.450754  0.00700622
           2       -0.68   -0.451503  0.00702326
           2       -0.44   -0.451466  0.00700048
           2        -0.6   -0.451948  0.00699435
           2       -0.44   -0.451909  0.00697182
           2       -0.36   -0.451613  0.00695563
           2       -0.28   -0.451061  0.00695512
           2       -0.44   -0.451026  0.00693292
           2       -0.44    -0.45099  0.00691086
           2       -0.44   -0.450955  0.00688894
           2       -0.36   -0.450667  0.00687311
           2        -0.6   -0.451139  0.00686759
           2       -0.28   -0.450599  0.00686711
           2       -0.52   -0.450818  0.00684899
           2       -0.44   -0.450784   0.0068276
           2       -0.52      -0.451  0.00680969
           2       -0.36   -0.450717  0.00679437
           2        -0.6    -0.45118  0.00678907
           2       -0.52   -0.451393   0.0067714
           2       -0.52   -0.451605  0.00675381
           2       -0.44   -0.451569  0.00673312
           2       -0.44   -0.451534  0.00671256
           2       -0.52   -0.451743   0.0066953
           2       -0.52   -0.451951  0.00667812
           2       -0.52   -0.452158  0.00666102
           2       -0.44   -0.452121  0.00664094
           2       -0.44   -0.452085  0.00662098
           2       -0.36   -0.451807  0.00660684
           2        -0.6   -0.452252  0.00660197
           2        -0.6   -0.452695  0.00659701
           2       -0.68   -0.453373  0.00661212
           2       -0.44   -0.453333  0.00659256
           2       -0.44   -0.453294  0.00657311
           2       -0.52   -0.453491  0.00655663
           2        -0.6   -0.453923  0.00655152
           2       -0.44   -0.453882  0.00653238
           2       -0.44   -0.453842  0.00651335
           2       -0.52   -0.454035  0.00649717
           2       -0.36   -0.453761  0.00648401
           2       -0.44   -0.453721  0.00646529
           2       -0.68   -0.454377  0.00647973
           2        -0.6   -0.454798  0.00647466
           2       -0.28   -0.454294  0.00647556
           2       -0.28   -0.453793   0.0064763
           2       -0.44   -0.453754  0.00645786
           2        -0.2   -0.453029  0.00647998
           2       -0.36   -0.452764  0.00646693
           2       -0.36     -0.4525  0.00645393
           2       -0.44   -0.452465  0.00643574
           2       -0.44   -0.452429  0.00641766
           2       -0.52    -0.45262   0.0064024
           2       -0.28   -0.452135  0.00640276
           2       -0.52   -0.452325  0.00638764
           2       -0.36   -0.452067    0.006375
           2       -0.52   -0.452256  0.00636005
           2       -0.44   -0.452222  0.00634248
           2        -0.6   -0.452632  0.00633811
           2       -0.52   -0.452818  0.00632333
           2       -0.36   -0.452562  0.00631108
           2       -0.44   -0.452527  0.00629383
           2       -0.52   -0.452712   0.0062793
           2       -0.52   -0.452896  0.00626484
           2       -0.28   -0.452425  0.00626546
           2       -0.44   -0.452391  0.00624852
           2        -0.2   -0.451707  0.00626891
           2       -0.52   -0.451892  0.00625468
           2       -0.52   -0.452075  0.00624052
           2       -0.52   -0.452258  0.00622641
           2       -0.52    -0.45244  0.00621237
           2        -0.6   -0.452834  0.00620828
           2       -0.28   -0.452373   0.0062088
           2       -0.36   -0.452128  0.00619715
           2       -0.44   -0.452095   0.0061808
           2       -0.52   -0.452275  0.00616705
           2        -0.6   -0.452665  0.00616309
           2       -0.36   -0.452421  0.00615169
           2       -0.68   -0.453018  0.00616448
           2       -0.28   -0.452565  0.00616496
           2       -0.68   -0.453159  0.00617739
           2       -0.52   -0.453333  0.00616376
           2       -0.44   -0.453299  0.00614784
           2       -0.44   -0.453264  0.00613201
           2       -0.28   -0.452817  0.00613249
           2       -0.36   -0.452577  0.00612135
           2       -0.36   -0.452339  0.00611024
           2       -0.52   -0.452513  0.00609703
           2       -0.52   -0.452685  0.00608388
           2       -0.44   -0.452653  0.00606845
           2       -0.44   -0.452621  0.00605309
           2       -0.52   -0.452792  0.00604014
           2       -0.36   -0.452557  0.00602942
           2       -0.52   -0.452727   0.0060166
           2        -0.6   -0.453098  0.00601287
           2       -0.52   -0.453266  0.00600011
           2       -0.44   -0.453233  0.00598516
           2       -0.52     -0.4534  0.00597253
           2       -0.36   -0.453167  0.00596217
           2       -0.68   -0.453731  0.00597398
           2       -0.68   -0.454293  0.00598549
           2       -0.68   -0.454851  0.00599669
           2       -0.84   -0.455802  0.00605682
           2        -0.6   -0.456158   0.0060523
           2       -0.44   -0.456118  0.00603756
           2        -0.6   -0.456471  0.00603306
           2       -0.52   -0.456626   0.0060203
           2       -0.52    -0.45678   0.0060076
           2       -0.28    -0.45635  0.00600837
           2       -0.36   -0.456117  0.00599833
           2       -0.44   -0.456077  0.00598393
           2       -0.44   -0.456039  0.00596961
           2       -0.36   -0.455807  0.00595971
           2       -0.36   -0.455577  0.00594983
           2        -0.6   -0.455923  0.00594563
           2       -0.44   -0.455885  0.00593153
           2       -0.68    -0.45642  0.00594144
           2       -0.76   -0.457143   0.0059711
           2       -0.52   -0.457292  0.00595878
           2       -0.68    -0.45782  0.00596799
           2        -0.6   -0.458156  0.00596334
           2       -0.44   -0.458113  0.00594943
           2       -0.44   -0.458071  0.00593558
           2       -0.52   -0.458216  0.00592343
           2       -0.36   -0.457986  0.00591402
           2        -0.6   -0.458318   0.0059095
           2       -0.36   -0.458089  0.00590017
           2       -0.36    -0.45786  0.00589085
           2        -0.2   -0.457262  0.00590749
           2       -0.36   -0.457037   0.0058981
           2       -0.44   -0.456998  0.00588461
           2       -0.36   -0.456774   0.0058753
           2       -0.28   -0.456368  0.00587583
           2       -0.28   -0.455963  0.00587626
           2       -0.44   -0.455927  0.00586293
           2       -0.52   -0.456073  0.00585137
           2        -0.6   -0.456401  0.00584721
           2        -0.6   -0.456727  0.00584303
           2       -0.36   -0.456508  0.00583389
           2       -0.36    -0.45629  0.00582478
           2        -0.2   -0.455711  0.00584029
           2        -0.6   -0.456036  0.00583617
           2       -0.36    -0.45582  0.00582704
           2       -0.36   -0.455605  0.00581794
           2       -0.36   -0.455391  0.00580885
           2       -0.52   -0.455536  0.00579768
           2       -0.36   -0.455323  0.00578867
           2       -0.28   -0.454933   0.0057889
           2        -0.2   -0.454368   0.0058036
           2       -0.28   -0.453982  0.00580356
           2       -0.28   -0.453598  0.00580345
           2       -0.44   -0.453568  0.00579074
           2       -0.44   -0.453538  0.00577809
           2       -0.36   -0.453333  0.00576906
           2       -0.52   -0.453479  0.00575828
           2       -0.52   -0.453624  0.00574754
           2       -0.44   -0.453595  0.00573509
           2       -0.52   -0.453739  0.00572444
           2       -0.52   -0.453883  0.00571383
           2        -0.6   -0.454199  0.00571021
           2        -0.6   -0.454514  0.00570655
           2       -0.44   -0.454483  0.00569434
           2       -0.36    -0.45428  0.00568572
           2       -0.44   -0.454249   0.0056736
           2       -0.44   -0.454218  0.00566153
           2        -0.6    -0.45453    0.005658
           2       -0.68   -0.455011  0.00566632
           2       -0.52   -0.455149  0.00565595
           2        -0.6   -0.455456   0.0056523
           2       -0.44   -0.455424  0.00564042
           2       -0.76   -0.456068  0.00566513
           2       -0.52   -0.456203  0.00565478
           2       -0.36      -0.456   0.0056465
           2       -0.44   -0.455966  0.00563474
           2        -0.6   -0.456268  0.00563101
           2        -0.6   -0.456569  0.00562725
           2        -0.6   -0.456868  0.00562347
           2       -0.44   -0.456833  0.00561186
           2        -0.6   -0.457131  0.00560808
           2        -0.6   -0.457427  0.00560428
           2       -0.68   -0.457888  0.00561159
           2       -0.52   -0.458017  0.00560146
           2       -0.44   -0.457979  0.00559003
           2       -0.36   -0.457778  0.00558216
           2       -0.36   -0.457577  0.00557431
           2       -0.36   -0.457377  0.00556647
           2       -0.36   -0.457178  0.00555865
           2       -0.52   -0.457306  0.00554879
           2       -0.44   -0.457271   0.0055376
           2       -0.52   -0.457398  0.00552781
           2       -0.44   -0.457363  0.00551671
           2       -0.36   -0.457166  0.00550906
           2       -0.28   -0.456808  0.00550955
           2       -0.44   -0.456774  0.00549854
           2        -0.6   -0.457062  0.00549503
           2        -0.2   -0.456546  0.00550818
           2       -0.44   -0.456513  0.00549724
           2       -0.52    -0.45664  0.00548772
           2        -0.2   -0.456128  0.00550062
           2        -0.6   -0.456414  0.00549712
           2       -0.52   -0.456541  0.00548765
           2       -0.44   -0.456508  0.00547686
           2       -0.36   -0.456317  0.00546934
           2        -0.6   -0.456601   0.0054659
           2       -0.52   -0.456726  0.00545655
           2       -0.68   -0.457165  0.00546348
           2       -0.52   -0.457289  0.00545414
           2       -0.44   -0.457255  0.00544355
           2        -0.6   -0.457534  0.00544006
           2       -0.36   -0.457344  0.00543277
           2       -0.68   -0.457778  0.00543949
           2        -0.6   -0.458054  0.00543594
           2       -0.12   -0.457398  0.00546488
           2       -0.52   -0.457519  0.00545563
           2       -0.68    -0.45795  0.00546203
           2       -0.44   -0.457915  0.00545159
           2       -0.52   -0.458035   0.0054424
           2       -0.44      -0.458  0.00543204
           2       -0.44   -0.457965  0.00542173
           2       -0.28   -0.457625  0.00542205
           2       -0.44   -0.457591  0.00541179
           2       -0.44   -0.457557  0.00540156
           2       -0.36   -0.457371  0.00539447
           2       -0.44   -0.457338  0.00538432
           2       -0.52   -0.457457  0.00537541
           2       -0.68   -0.457879  0.00538173
           2        -0.6   -0.458147  0.00537826
           2        -0.6   -0.458415  0.00537477
           2       -0.52   -0.458531  0.00536589
           2       -0.44   -0.458496  0.00535592
           2       -0.44   -0.458462  0.00534599
           2       -0.28   -0.458127  0.00534641
           2       -0.52   -0.458243  0.00533767
           2       -0.28    -0.45791  0.00533806
           2       -0.44   -0.457877  0.00532822
           2       -0.52   -0.457993  0.00531957
           2       -0.44   -0.457959   0.0053098
           2        -0.2   -0.457481  0.00532142
           2       -0.36   -0.457301  0.00531463
           2       -0.68   -0.457712  0.00532068
           2       -0.36   -0.457532  0.00531393
           2        -0.6   -0.457794  0.00531061
           2       -0.52   -0.457908  0.00530209
           2       -0.28   -0.457582  0.00530238
           2       -0.28   -0.457258  0.00530262
           2       -0.44   -0.457226  0.00529304
           2       -0.52   -0.457341  0.00528463
           2       -0.36   -0.457164  0.00527798
           2       -0.52   -0.457278  0.00526964
           2        -0.6   -0.457536  0.00526643
           2       -0.36    -0.45736  0.00525986
           2       -0.44   -0.457329  0.00525046
           2       -0.28   -0.457009  0.00525071
           2       -0.52   -0.457122  0.00524249
           2       -0.36   -0.456948  0.00523598
           2       -0.52   -0.457061  0.00522781
           2       -0.44    -0.45703  0.00521855
           2       -0.44      -0.457  0.00520932
           2       -0.52   -0.457112  0.00520124
           2        -0.6   -0.457367   0.0051982
           2       -0.52   -0.457478  0.00519015
           2       -0.44   -0.457447  0.00518105
           2       -0.52   -0.457558  0.00517306
           2       -0.52   -0.457668  0.00516509
           2       -0.44   -0.457637  0.00515608
           2        -0.6   -0.457887  0.00515309
           2       -0.44   -0.457856  0.00514413
           2       -0.28   -0.457544  0.00514456
           2       -0.52   -0.457653  0.00513671
           2       -0.52   -0.457762  0.00512889
           2        -0.6    -0.45801  0.00512594
           2       -0.68   -0.458397  0.00513158
           2       -0.52   -0.458504  0.00512377
           2       -0.44   -0.458472  0.00511498
           2       -0.36   -0.458302  0.00510896
           2       -0.44    -0.45827  0.00510022
           2       -0.44   -0.458238  0.00509151
           2        -0.6   -0.458483  0.00508859
           2       -0.52   -0.458589  0.00508094
           2       -0.52   -0.458694   0.0050733
           2       -0.44   -0.458662   0.0050647
           2       -0.44    -0.45863  0.00505613
           2       -0.44   -0.458598  0.00504759
           2       -0.28   -0.458294  0.00504817
           2       -0.44   -0.458262  0.00503966
           2       -0.36   -0.458095  0.00503386
           2       -0.44   -0.458065  0.00502541
           2       -0.52   -0.458169  0.00501799
           2       -0.68   -0.458545  0.00502351
           2        -0.6   -0.458784  0.00502071
           2       -0.52   -0.458887   0.0050133
           2       -0.36   -0.458721  0.00500763
           2       -0.44   -0.458689  0.00499931
           2       -0.36   -0.458523  0.00499366
           2       -0.36   -0.458358  0.00498802
           2       -0.36   -0.458194  0.00498239
           2        -0.6   -0.458431   0.0049797
           2        -0.2      -0.458  0.00498999
           2       -0.28   -0.457704  0.00499047
           2       -0.44   -0.457674  0.00498227
           2       -0.44   -0.457645  0.00497409
           2       -0.44   -0.457616  0.00496594
           2        -0.6   -0.457851  0.00496331
           2        -0.6   -0.458086  0.00496066
           2       -0.44   -0.458056  0.00495257
           2       -0.36   -0.457895  0.00494705
           2       -0.44   -0.457865  0.00493902
           2       -0.52   -0.457967  0.00493197
           2       -0.52   -0.458069  0.00492494
           2       -0.52    -0.45817  0.00491793
           2       -0.44    -0.45814     0.00491
           2       -0.36    -0.45798  0.00490461
           2       -0.52   -0.458081  0.00489767
           2        -0.6   -0.458312  0.00489513
           2        -0.6   -0.458541  0.00489258
           2       -0.36   -0.458382  0.00488726
           2       -0.44   -0.458352  0.00487946
           2       -0.52   -0.458452   0.0048726
           2        -0.6    -0.45868  0.00487008
           2       -0.44    -0.45865  0.00486234
           2       -0.44    -0.45862  0.00485463
           2       -0.36   -0.458462  0.00484942
           2       -0.44   -0.458432  0.00484176
           2       -0.52    -0.45853  0.00483502
           2        -0.6   -0.458756  0.00483257
           2       -0.36   -0.458599  0.00482743
           2       -0.28   -0.458315   0.0048281
           2        -0.6    -0.45854  0.00482567
           2        -0.6   -0.458764  0.00482323
           2       -0.44   -0.458734  0.00481569
           2       -0.28   -0.458452  0.00481635
           2       -0.44   -0.458423  0.00480884
           2       -0.36   -0.458268  0.00480377
           2       -0.36   -0.458113   0.0047987
           2       -0.36   -0.457959  0.00479364
           2        -0.6   -0.458182  0.00479129
           2       -0.68   -0.458529  0.00479635
           2       -0.44     -0.4585  0.00478894
           2       -0.36   -0.458346  0.00478394
           2       -0.44   -0.458318  0.00477657
           2       -0.68   -0.458663  0.00478157
           2       -0.52   -0.458758  0.00477509
           2       -0.52   -0.458853  0.00476863
           2       -0.52   -0.458947  0.00476219
           2       -0.44   -0.458918  0.00475492
           2       -0.52   -0.459012  0.00474852
           2       -0.28   -0.458737   0.0047492
           2       -0.36   -0.458585  0.00474433
           2       -0.36   -0.458433  0.00473945
           2       -0.36   -0.458282  0.00473459
           2        -0.6   -0.458499  0.00473231
           2       -0.68   -0.458838  0.00473718
           2       -0.52   -0.458931  0.00473087
           2        -0.6   -0.459146  0.00472854
           2       -0.36   -0.458995  0.00472375
           2       -0.52   -0.459088  0.00471748
           2       -0.36   -0.458938  0.00471272
           2       -0.68   -0.459273  0.00471747
           2       -0.44   -0.459244  0.00471042
           2       -0.52   -0.459335   0.0047042
           2        -0.6   -0.459548  0.00470188
           2        -0.6   -0.459759  0.00469956
           2        -0.6    -0.45997  0.00469722
           2       -0.36    -0.45982  0.00469257
           2       -0.52    -0.45991   0.0046864
           2        -0.6    -0.46012  0.00468407
           2       -0.36    -0.45997  0.00467946
           2        -0.2   -0.459582  0.00468854
           2       -0.52   -0.459672  0.00468241
           2        -0.6   -0.459881   0.0046801
           2       -0.44   -0.459851  0.00467324
           2       -0.12   -0.459347  0.00469343
           2       -0.28   -0.459081  0.00469399
           2       -0.52   -0.459172  0.00468791
           2       -0.28   -0.458907  0.00468845
           2       -0.52   -0.458997   0.0046824
           2       -0.52   -0.459087  0.00467637
           2       -0.52   -0.459176  0.00467035
           2       -0.28   -0.458913   0.0046709
           2       -0.68   -0.459238  0.00467528
           2       -0.52   -0.459327  0.00466928
           2       -0.52   -0.459415   0.0046633
           2       -0.52   -0.459504  0.00465733
           2       -0.44   -0.459475  0.00465063
           2       -0.52   -0.459563  0.00464469
           2        -0.6   -0.459767  0.00464243
           2       -0.44   -0.459739  0.00463578
           2       -0.44    -0.45971  0.00462915
           2        -0.6   -0.459913   0.0046269
           2       -0.52       -0.46  0.00462102
           2        -0.6   -0.460202  0.00461877
           2       -0.68   -0.460519  0.00462296
           2       -0.44   -0.460489   0.0046164
           2       -0.44    -0.46046  0.00460986
           2       -0.52   -0.460545  0.00460404
           2       -0.28   -0.460287  0.00460471
           2       -0.36   -0.460143  0.00460035
