#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.09751     1.37616   0.0285878
         169     1.09827     1.37451   0.0284659
         170     1.09908     1.37289   0.0283445
         171     1.09992      1.3713   0.0282237
         172     1.10078     1.36972   0.0281034
         173     1.10165     1.36817   0.0279836
         174     1.10253     1.36665   0.0278644
         175     1.10338     1.36514   0.0277458
         176     1.10419     1.36366   0.0276277
         177     1.10496      1.3622   0.0275103
         178     1.10566     1.36076   0.0273934
         179     1.10627     1.35934   0.0272773
         180     1.10678     1.35793   0.0271618
         181     1.10718     1.35655    0.027047
         182     1.10745     1.35518    0.026933
         183     1.10758     1.35383   0.0268198
         184     1.10758     1.35249   0.0267074
         185     1.10743     1.35116   0.0265959
         186     1.10714     1.34985   0.0264853
         187     1.10669     1.34855   0.0263755
         188     1.10611     1.34726   0.0262667
         189     1.10538     1.34598   0.0261589
         190     1.10453     1.34471   0.0260521
         191     1.10356     1.34345   0.0259463
         192     1.10248     1.34219   0.0258415
         193     1.10131     1.34094   0.0257377
         194     1.10005      1.3397    0.025635
         195     1.09873     1.33847   0.0255333
         196     1.09736     1.33724   0.0254326
         197     1.09596     1.33601    0.025333
         198     1.09454     1.33479   0.0252344
         199     1.09311     1.33358   0.0251368
         200     1.09169     1.33237   0.0250402
         201      1.0903     1.33116   0.0249445
         202     1.08894     1.32997   0.0248499
         203     1.08763     1.32877   0.0247561
         204     1.08638     1.32758   0.0246632
         205      1.0852      1.3264   0.0245713
         206     1.08409     1.32522   0.0244801
         207     1.08308     1.32406   0.0243898
         208     1.08216     1.32289   0.0243002
         209     1.08135     1.32174   0.0242114
         210     1.08065     1.32059   0.0241234
         211     1.08006     1.31945   0.0240359
         212      1.0796     1.31832   0.0239492
         213     1.07927     1.31719    0.023863
         214     1.07907     1.31608   0.0237774
         215     1.07902     1.31498   0.0236924
         216     1.07912     1.31389   0.0236079
         217     1.07938     1.31281   0.0235238
         218      1.0798     1.31174   0.0234402
         219      1.0804     1.31068   0.0233569
         220     1.08119     1.30964    0.023274
         221     1.08216     1.30861   0.0231915
         222     1.08333     1.30759   0.0231092
         223     1.08471     1.30659   0.0230272
         224     1.08629     1.30561   0.0229454
         225     1.08808     1.30464   0.0228637
         226     1.09007      1.3037   0.0227823
         227     1.09228     1.30276   0.0227009
         228     1.09469     1.30185   0.0226197
         229      1.0973     1.30096   0.0225386
         230     1.10009     1.30008   0.0224575
         231     1.10306     1.29923   0.0223765
         232     1.10618      1.2984   0.0222955
         233     1.10944     1.29759   0.0222145
         234     1.11282      1.2968   0.0221336
         235      1.1163     1.29603   0.0220528
         236     1.11984     1.29528    0.021972
         237     1.12343     1.29456   0.0218912
         238     1.12704     1.29386   0.0218105
         239     1.13064     1.29317     0.02173
         240     1.13421     1.29251   0.0216495
         241     1.13772     1.29187   0.0215692
         242     1.14116     1.29125   0.0214891
         243      1.1445     1.29064   0.0214091
         244     1.14772     1.29006   0.0213294
         245      1.1508     1.28949   0.0212499
         246     1.15374     1.28894   0.0211707
         247     1.15652      1.2884   0.0210918
         248     1.15912     1.28788   0.0210132
         249     1.16155     1.28737   0.0209349
         250      1.1638     1.28688    0.020857
