#     TEMP:   ACTUAL_TE:    TE_AVE:      ERROR:
         152    -3.82818    -3.81812   0.0012319
         153    -3.82859    -3.81819  0.00122575
         154     -3.8287    -3.81826  0.00121969
         155    -3.82867    -3.81832  0.00121367
         156    -3.82819    -3.81839  0.00120753
         157    -3.82832    -3.81845   0.0012015
         158    -3.82802    -3.81851  0.00119542
         159    -3.82818    -3.81857  0.00118945
         160     -3.8282    -3.81863  0.00118353
         161    -3.82808    -3.81869  0.00117764
         162    -3.82873    -3.81875    0.001172
         163    -3.82954    -3.81882  0.00116667
         164    -3.82961    -3.81889  0.00116141
         165    -3.82938    -3.81895  0.00115612
         166    -3.82991    -3.81901  0.00115103
         167    -3.83059    -3.81908  0.00114623
         168    -3.83081    -3.81915  0.00114153
         169    -3.83118    -3.81922  0.00113699
         170    -3.83123     -3.8193  0.00113249
         171    -3.83081    -3.81936  0.00112786
         172    -3.83068    -3.81943  0.00112322
         173    -3.83083    -3.81949  0.00111866
         174     -3.8308    -3.81956  0.00111412
         175     -3.8306    -3.81962  0.00110953
         176    -3.83007    -3.81968  0.00110482
         177    -3.83042    -3.81974  0.00110024
         178     -3.8306     -3.8198  0.00109575
         179    -3.83015    -3.81986  0.00109115
         180    -3.82967    -3.81992  0.00108644
         181    -3.82903    -3.81997  0.00108161
         182    -3.82883    -3.82001  0.00107676
         183    -3.82892    -3.82006  0.00107198
         184    -3.82855    -3.82011  0.00106714
         185    -3.82788    -3.82015   0.0010622
         186    -3.82751    -3.82019  0.00105723
         187    -3.82684    -3.82023  0.00105217
         188    -3.82663    -3.82026  0.00104712
         189    -3.82629    -3.82029  0.00104207
         190    -3.82626    -3.82032  0.00103706
         191    -3.82579    -3.82035  0.00103202
         192    -3.82535    -3.82038  0.00102698
         193    -3.82523     -3.8204  0.00102196
         194    -3.82467    -3.82043  0.00101693
         195    -3.82399    -3.82044  0.00101188
         196    -3.82394    -3.82046  0.00100688
         197    -3.82346    -3.82048  0.00100188
         198    -3.82375    -3.82049 0.000996956
         199    -3.82346    -3.82051 0.000992057
         200     -3.8238    -3.82053 0.000987233
         201      -3.824    -3.82054 0.000982473
         202    -3.82422    -3.82056 0.000977778
         203    -3.82446    -3.82058  0.00097315
         204    -3.82426     -3.8206 0.000968547
         205    -3.82423    -3.82062 0.000963985
         206    -3.82421    -3.82063 0.000959463
         207    -3.82435    -3.82065 0.000954997
         208    -3.82436    -3.82067 0.000950572
         209    -3.82422    -3.82069 0.000946175
         210    -3.82439     -3.8207 0.000941835
         211    -3.82413    -3.82072 0.000937511
         212    -3.82417    -3.82074  0.00093323
         213    -3.82468    -3.82075 0.000929032
         214    -3.82489    -3.82077 0.000924892
         215    -3.82542     -3.8208 0.000920843
         216    -3.82566    -3.82082 0.000916855
         217    -3.82621    -3.82084 0.000912967
         218    -3.82587    -3.82087  0.00090907
         219    -3.82599    -3.82089  0.00090522
         220    -3.82582    -3.82091 0.000901383
         221    -3.82597    -3.82093 0.000897594
         222    -3.82657    -3.82096  0.00089391
         223    -3.82673    -3.82099 0.000890276
         224    -3.82704    -3.82101 0.000886712
         225    -3.82781    -3.82104 0.000883285
