#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         161     1.67801   -0.728119     0.21544
         162     1.67501   -0.713284     0.21462
         163     1.67155   -0.698654    0.213801
         164     1.66904   -0.684216    0.212985
         165     1.66676   -0.669968     0.21217
         166     1.66301   -0.655914    0.211357
         167     1.65876   -0.642054    0.210545
         168       1.655   -0.628381    0.209735
         169     1.65079   -0.614894    0.208928
         170     1.64689    -0.60159    0.208122
         171      1.6436    -0.58846    0.207318
         172     1.63976   -0.575505    0.206517
         173     1.63546   -0.562725    0.205719
         174     1.63149   -0.550115    0.204923
         175     1.62792   -0.537669    0.204129
         176     1.62507    -0.52538    0.203339
         177      1.6211   -0.513253    0.202551
         178     1.61777   -0.501281    0.201767
         179     1.61587   -0.489454    0.200986
         180     1.61449   -0.477765    0.200209
         181     1.61394   -0.466209    0.199436
         182     1.61328   -0.454783    0.198667
         183      1.6128   -0.443485    0.197903
         184     1.61371   -0.432304    0.197143
         185     1.61578   -0.421234    0.196388
         186     1.61805    -0.41027    0.195638
         187     1.62147   -0.399405    0.194893
         188     1.62479   -0.388638    0.194154
         189     1.62895   -0.377963     0.19342
         190     1.63319   -0.367378    0.192691
         191     1.63864   -0.356875    0.191968
         192     1.64454   -0.346451    0.191251
         193     1.65034   -0.336105     0.19054
         194     1.65717    -0.32583    0.189834
         195     1.66447   -0.315624    0.189135
         196     1.67099   -0.305488    0.188442
         197     1.67832   -0.295418    0.187754
         198     1.68448   -0.285418    0.187072
         199     1.69157   -0.275484    0.186395
         200     1.69759   -0.265618    0.185724
         201      1.7037   -0.255821    0.185058
         202     1.70958   -0.246091    0.184398
         203     1.71518   -0.236429    0.183742
         204     1.72118   -0.226833    0.183092
         205     1.72657   -0.217305    0.182447
         206     1.73153   -0.207844    0.181806
         207      1.7358   -0.198455     0.18117
         208     1.73981   -0.189136    0.180539
         209     1.74353   -0.179889    0.179912
         210      1.7462   -0.170717    0.179289
         211     1.74898   -0.161619     0.17867
         212     1.75064   -0.152599    0.178054
         213     1.75091   -0.143662    0.177442
         214     1.75095   -0.134809    0.176834
         215     1.74975   -0.126043    0.176229
         216     1.74825   -0.117366    0.175626
         217     1.74544   -0.108782    0.175027
         218     1.74321   -0.100286     0.17443
         219     1.73935  -0.0918862    0.173835
         220     1.73504   -0.083582    0.173244
         221     1.72927   -0.075379    0.172654
         222     1.72179  -0.0672837    0.172066
         223     1.71402  -0.0592957    0.171479
         224     1.70499  -0.0514195    0.170895
         225     1.69421  -0.0436611    0.170311
         226     1.68386  -0.0360172    0.169729
         227     1.67107   -0.028497    0.169148
         228     1.65902  -0.0210956    0.168568
         229     1.64535  -0.0138186    0.167989
         230     1.63035 -0.00666999     0.16741
         231     1.61556 0.000352631    0.166833
         232     1.59936  0.00724492    0.166256
         233     1.58163    0.014002     0.16568
         234     1.56416   0.0206265    0.165104
         235     1.54585   0.0271168    0.164529
         236     1.52754   0.0334746    0.163955
         237      1.5101   0.0397051    0.163381
         238     1.49218   0.0458079    0.162809
         239     1.47438   0.0517852    0.162237
         240     1.45706   0.0576405    0.161667
         241      1.4396   0.0633747    0.161098
         242     1.42209   0.0689893     0.16053
         243     1.40512   0.0744877    0.159963
         244     1.38922    0.079876    0.159398
         245     1.37401   0.0851582    0.158835
         246     1.35928   0.0903375    0.158274
         247      1.3458   0.0954203    0.157715
         248     1.33312    0.100411    0.157158
         249     1.32151    0.105315    0.156603
         250     1.31097    0.110138    0.156051
         251     1.30103    0.114882    0.155501
         252      1.2912     0.11955    0.154954
         253     1.28267    0.124148     0.15441
         254     1.27566    0.128681    0.153869
         255     1.26846    0.133151     0.15333
         256       1.262     0.13756    0.152795
         257     1.25649    0.141914    0.152262
         258     1.25117    0.146214    0.151733
         259     1.24648    0.150462    0.151206
         260     1.24335    0.154665    0.150683
         261     1.24029    0.158825    0.150163
         262     1.23799    0.162944    0.149647
         263     1.23615    0.167024    0.149133
         264     1.23476    0.171069    0.148623
         265     1.23376    0.175079    0.148116
         266     1.23337    0.179057    0.147613
         267     1.23283    0.183004    0.147113
         268     1.23235     0.18692    0.146616
         269      1.2319    0.190804    0.146122
         270     1.23243    0.194662    0.145632
         271     1.23246    0.198492    0.145145
         272     1.23341    0.202297    0.144661
         273     1.23456    0.206078    0.144181
         274      1.2354    0.209834    0.143704
         275     1.23688    0.213569     0.14323
         276     1.23924    0.217285    0.142759
         277     1.24127    0.220982    0.142291
         278     1.24369    0.224661    0.141827
         279     1.24529    0.228319    0.141366
         280     1.24656    0.231956    0.140908
         281     1.24823    0.235572    0.140453
         282     1.25007     0.23917    0.140001
         283     1.25232     0.24275    0.139552
         284     1.25596    0.246317    0.139106
         285     1.25956    0.249873    0.138663
         286     1.26241    0.253413    0.138224
         287     1.26646    0.256943    0.137787
         288     1.27003     0.26046    0.137354
         289     1.27387    0.263967    0.136923
         290     1.27776    0.267463    0.136496
         291     1.28267    0.270952    0.136071
         292     1.28671     0.27443     0.13565
         293     1.29205    0.277903    0.135231
         294     1.29702     0.28137    0.134815
         295     1.30357    0.284835    0.134403
         296     1.31002    0.288298    0.133994
         297     1.31686    0.291761    0.133587
         298     1.32338    0.295223    0.133184
         299     1.33102    0.298687    0.132783
         300     1.33929    0.302156    0.132386
         301      1.3482    0.305631    0.131992
         302     1.35726    0.309114    0.131601
         303      1.3662    0.312602    0.131213
         304     1.37574    0.316099    0.130828
         305     1.38585    0.319607    0.130446
         306     1.39506    0.323121    0.130067
         307      1.4048    0.326645    0.129691
         308     1.41552     0.33018    0.129318
         309     1.42623    0.333727    0.128948
         310     1.43786    0.337289    0.128581
         311     1.44918    0.340864    0.128217
         312      1.4604    0.344452    0.127857
         313     1.47198    0.348055    0.127499
         314     1.48318     0.35167    0.127144
         315     1.49518      0.3553    0.126792
         316     1.50652    0.358943    0.126443
         317     1.51839    0.362601    0.126097
         318     1.53031    0.366273    0.125754
         319     1.54202    0.369958    0.125414
         320     1.55401    0.373658    0.125077
         321     1.56532    0.377371    0.124742
         322     1.57714    0.381097     0.12441
         323     1.58926    0.384837    0.124081
         324     1.60192    0.388594    0.123755
         325     1.61343    0.392362    0.123432
         326      1.6262    0.396147    0.123111
         327     1.63736    0.399943    0.122793
         328     1.65002    0.403754    0.122478
         329     1.66202    0.407579    0.122165
         330     1.67359    0.411415    0.121856
         331     1.68542    0.415264    0.121548
         332     1.69775    0.419127    0.121243
         333     1.71006    0.423004    0.120941
         334     1.72304    0.426896    0.120642
         335      1.7352    0.430801    0.120345
         336     1.74722    0.434719     0.12005
         337     1.75951     0.43865    0.119759
         338     1.77154    0.442594    0.119469
         339     1.78349    0.446549    0.119182
         340     1.79529    0.450516    0.118898
         341     1.80615    0.454492    0.118615
         342     1.81599    0.458473    0.118335
         343     1.82476    0.462456    0.118057
         344     1.83334    0.466441    0.117781
         345     1.84071    0.470424    0.117507
         346     1.84729    0.474404    0.117235
         347     1.85494    0.478382    0.116965
         348     1.85976    0.482352    0.116696
         349     1.86459    0.486312    0.116429
         350      1.8682    0.490261    0.116163
         351     1.87031    0.494192    0.115899
         352     1.87186    0.498106    0.115635
         353     1.87212    0.501999    0.115373
         354     1.87155    0.505867    0.115112
         355     1.86921    0.509708    0.114852
         356     1.86629    0.513518    0.114593
         357     1.86185    0.517295    0.114334
         358     1.85736    0.521038    0.114076
         359     1.85069    0.524742    0.113818
         360     1.84427    0.528407    0.113561
         361     1.83647    0.532031    0.113304
         362     1.82806    0.535611    0.113048
         363     1.81861    0.539146    0.112792
         364      1.8089    0.542634    0.112536
         365     1.79899    0.546076     0.11228
         366     1.78678    0.549466    0.112024
         367     1.77498    0.552805    0.111769
         368     1.76222    0.556092    0.111513
         369     1.74906    0.559325    0.111258
         370     1.73676    0.562507    0.111003
         371     1.72346    0.565636    0.110748
         372     1.70997    0.568712    0.110493
         373     1.69609    0.571735    0.110238
         374     1.68239    0.574704    0.109983
         375     1.66843    0.577621    0.109729
         376     1.65476    0.580486    0.109474
         377     1.64143      0.5833     0.10922
         378     1.62801    0.586064    0.108966
         379     1.61527    0.588779    0.108712
         380     1.60205    0.591446    0.108459
         381     1.58862    0.594063    0.108206
         382     1.57551    0.596632    0.107953
         383     1.56348    0.599157    0.107701
         384     1.55207    0.601638    0.107449
         385     1.54011    0.604076    0.107197
         386     1.52931    0.606473    0.106946
         387     1.51945    0.608832    0.106696
         388     1.50887    0.611152    0.106446
         389     1.50002    0.613437    0.106197
         390     1.49122    0.615687    0.105949
         391     1.48324    0.617906    0.105701
         392     1.47464    0.620092    0.105454
         393     1.46715    0.622247    0.105208
         394     1.46056    0.624375    0.104962
         395     1.45394    0.626475    0.104717
         396     1.44851    0.628551    0.104474
         397     1.44383    0.630604    0.104231
         398     1.44041    0.632639    0.103989
         399     1.43731    0.634656    0.103747
         400       1.436    0.636659    0.103507
         401     1.43531    0.638651    0.103268
         402     1.43452     0.64063    0.103031
         403     1.43485    0.642601    0.102794
         404     1.43726    0.644568    0.102558
         405     1.43933    0.646531    0.102324
         406     1.44202     0.64849     0.10209
         407     1.44601    0.650449    0.101858
         408     1.45029     0.65241    0.101628
         409     1.45578    0.654374    0.101398
         410     1.46192    0.656344     0.10117
         411      1.4684    0.658319    0.100943
         412     1.47559    0.660303    0.100717
         413     1.48315    0.662296    0.100493
         414     1.49073    0.664297    0.100271
         415     1.49941    0.666309    0.100049
         416     1.50762    0.668331    0.099829
         417     1.51475    0.670361   0.0996103
         418     1.52262      0.6724   0.0993928
         419     1.52895    0.674444   0.0991766
         420     1.53507    0.676493   0.0989617
         421     1.54089    0.678547   0.0987479
         422      1.5466    0.680604   0.0985353
         423     1.55094    0.682661   0.0983238
         424     1.55557     0.68472   0.0981135
         425     1.55903    0.686777   0.0979042
         426     1.56208    0.688832   0.0976959
         427     1.56474    0.690883   0.0974887
         428     1.56661    0.692929   0.0972824
         429      1.5675    0.694968    0.097077
         430     1.56872       0.697   0.0968725
         431      1.5694    0.699024   0.0966689
         432     1.56941    0.701039   0.0964661
         433     1.57004    0.703046   0.0962642
         434     1.56996    0.705043   0.0960631
         435     1.57096    0.707034   0.0958629
         436     1.57119    0.709016   0.0956635
         437      1.5717     0.71099   0.0954649
         438       1.574     0.71296   0.0952673
         439     1.57549    0.714925   0.0950706
         440     1.57742    0.716885   0.0948747
         441     1.57981    0.718842   0.0946797
         442     1.58291    0.720797   0.0944857
         443     1.58696    0.722752   0.0942927
         444     1.59075    0.724707   0.0941006
         445     1.59522    0.726663   0.0939094
         446     1.60009    0.728622   0.0937193
         447     1.60557    0.730583   0.0935302
         448     1.61161     0.73255   0.0933421
         449     1.61841    0.734523    0.093155
         450     1.62445    0.736501    0.092969
         451     1.63066    0.738483    0.092784
         452     1.63819    0.740474   0.0926001
         453     1.64481     0.74247   0.0924172
         454     1.65096    0.744471   0.0922353
         455     1.65805    0.746479   0.0920544
         456     1.66433    0.748492   0.0918745
         457     1.67075     0.75051   0.0916957
         458     1.67701    0.752533   0.0915178
         459     1.68311     0.75456   0.0913408
         460     1.68923    0.756592   0.0911649
         461     1.69489    0.758627   0.0909898
         462     1.70029    0.760666   0.0908157
         463     1.70517    0.762706   0.0906425
         464     1.70976    0.764747   0.0904701
         465     1.71402    0.766788   0.0902986
         466     1.71746    0.768828   0.0901278
         467     1.72102    0.770867   0.0899579
         468     1.72465    0.772905   0.0897888
         469     1.72787    0.774941   0.0896204
         470     1.73015    0.776974   0.0894528
         471     1.73148       0.779   0.0892858
         472     1.73302    0.781021   0.0891195
         473     1.73403    0.783036   0.0889539
         474     1.73473    0.785044   0.0887888
         475     1.73464    0.787043   0.0886244
         476     1.73446    0.789034   0.0884606
         477     1.73276    0.791012   0.0882973
         478     1.73053    0.792978   0.0881344
         479     1.72779    0.794929    0.087972
         480     1.72483    0.796866   0.0878101
         481     1.72145    0.798789   0.0876485
         482     1.71796    0.800696   0.0874874
         483     1.71396    0.802586   0.0873267
         484        1.71    0.804461   0.0871664
         485     1.70523    0.806319   0.0870065
         486     1.70069    0.808159   0.0868469
         487     1.69649    0.809983   0.0866878
         488     1.69296    0.811792    0.086529
         489     1.68923    0.813587   0.0863707
         490     1.68636    0.815368   0.0862127
         491     1.68323    0.817135   0.0860553
         492      1.6816    0.818892   0.0858983
         493     1.67962    0.820638   0.0857418
         494     1.67833    0.822374   0.0855858
         495       1.678    0.824103   0.0854304
         496     1.67822    0.825825   0.0852755
         497     1.67974    0.827543   0.0851212
         498     1.68043    0.829256   0.0849675
         499     1.68343    0.830968   0.0848145
         500     1.68733     0.83268   0.0846621
         501     1.69189    0.834395   0.0845105
         502      1.6976    0.836115   0.0843597
         503      1.7042    0.837841   0.0842096
         504     1.71218    0.839575   0.0840604
         505     1.72103    0.841321   0.0839121
         506     1.72905    0.843075   0.0837646
         507      1.7386    0.844842    0.083618
         508     1.74966    0.846623   0.0834723
         509     1.76072    0.848419   0.0833277
         510     1.77344    0.850232    0.083184
         511     1.78604    0.852064   0.0830414
         512     1.79897    0.853913   0.0828998
         513     1.81262    0.855782   0.0827592
         514     1.82691    0.857671   0.0826198
         515     1.84178    0.859582   0.0824815
         516     1.85544    0.861512   0.0823442
         517     1.87094    0.863465   0.0822081
         518     1.88628    0.865439   0.0820731
         519     1.90065    0.867434   0.0819392
         520     1.91518    0.869449   0.0818064
         521     1.92981    0.871484   0.0816747
         522     1.94519    0.873541   0.0815441
         523     1.95887    0.875616   0.0814146
         524     1.97296     0.87771   0.0812861
         525     1.98695    0.879823   0.0811588
         526     2.00081    0.881954   0.0810324
         527     2.01333    0.884101   0.0809071
         528     2.02665    0.886265   0.0807828
         529     2.03982    0.888446   0.0806595
         530     2.05139     0.89064   0.0805372
         531     2.06328    0.892848   0.0804158
         532     2.07478     0.89507   0.0802953
         533     2.08492    0.897302   0.0801757
         534     2.09467    0.899544   0.0800569
         535     2.10425    0.901796   0.0799389
         536     2.11462    0.904059   0.0798218
         537     2.12407    0.906331   0.0797055
         538     2.13185    0.908609   0.0795899
         539     2.14034    0.910894    0.079475
         540     2.14757    0.913184   0.0793608
         541     2.15398    0.915478   0.0792473
         542     2.16072    0.917775   0.0791343
         543     2.16605    0.920074    0.079022
         544     2.17112    0.922374   0.0789102
         545     2.17565    0.924673   0.0787989
         546     2.17788    0.926969    0.078688
         547     2.18018     0.92926   0.0785775
         548     2.18153    0.931545   0.0784673
         549     2.18117    0.933821   0.0783574
         550     2.18051    0.936088   0.0782477
         551     2.17977    0.938345   0.0781382
         552     2.17626    0.940587   0.0780289
         553     2.17264    0.942815   0.0779196
         554     2.16768    0.945026   0.0778103
         555     2.16165    0.947218    0.077701
         556     2.15477     0.94939   0.0775916
         557     2.14635    0.951539    0.077482
         558      2.1369    0.953664   0.0773723
         559     2.12619    0.955761   0.0772623
         560     2.11475    0.957831    0.077152
         561     2.10309    0.959872   0.0770415
         562     2.09127    0.961885   0.0769307
         563     2.07739    0.963867   0.0768196
         564     2.06247    0.965815   0.0767081
         565     2.04704    0.967728   0.0765962
         566     2.03115    0.969607   0.0764839
         567     2.01413    0.971449   0.0763712
         568       1.997    0.973255    0.076258
         569     1.97811    0.975021   0.0761445
         570     1.95993    0.976749   0.0760305
         571     1.94081    0.978437   0.0759161
         572     1.92056    0.980084   0.0758012
         573      1.9014    0.981692    0.075686
         574     1.88143     0.98326   0.0755704
         575     1.86141    0.984787   0.0754544
         576     1.84066    0.986273    0.075338
         577     1.81993    0.987717   0.0752213
         578     1.79899    0.989121   0.0751042
         579     1.77692    0.990482   0.0749868
         580     1.75515      0.9918   0.0748691
         581       1.733    0.993076   0.0747512
         582     1.71142     0.99431   0.0746329
         583     1.68898    0.995502   0.0745144
         584     1.66665    0.996651   0.0743957
         585     1.64442    0.997758   0.0742767
         586     1.62254    0.998824   0.0741576
         587     1.60005    0.999849   0.0740384
         588     1.57743     1.00083    0.073919
         589     1.55445     1.00177   0.0737995
         590     1.53159     1.00267   0.0736798
         591     1.50937     1.00353   0.0735601
         592     1.48587     1.00434   0.0734404
         593     1.46304     1.00511   0.0733206
         594     1.43973     1.00585   0.0732008
         595     1.41622     1.00654   0.0730811
         596     1.39398     1.00719   0.0729613
         597     1.37093      1.0078   0.0728417
         598     1.34929     1.00837   0.0727221
         599     1.32672      1.0089   0.0726026
         600     1.30546     1.00939   0.0724833
         601      1.2839     1.00985   0.0723642
         602     1.26261     1.01027   0.0722452
         603     1.24141     1.01065   0.0721264
         604     1.22158       1.011   0.0720078
         605     1.20319     1.01132   0.0718895
         606     1.18534     1.01161   0.0717714
         607     1.16883     1.01186   0.0716537
         608     1.15273      1.0121   0.0715362
         609     1.13687      1.0123    0.071419
         610     1.12151     1.01248   0.0713021
         611     1.10861     1.01264   0.0711856
         612     1.09651     1.01277   0.0710694
