#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.56136    -5.74387   0.0160904
         153    -5.53985    -5.74253   0.0160404
         154    -5.45205    -5.74065   0.0160468
         155    -5.43412    -5.73867   0.0160646
         156     -5.4421    -5.73677   0.0160738
         157    -5.53212    -5.73547   0.0160241
         158    -5.54539    -5.73426   0.0159678
         159    -5.56322    -5.73319   0.0159036
         160    -5.61389    -5.73244   0.0158217
         161    -5.60153    -5.73163   0.0157443
         162    -5.57061    -5.73063   0.0156784
         163    -5.61859    -5.72995   0.0155973
         164    -5.65199    -5.72947   0.0155094
         165    -5.57878    -5.72856   0.0154423
         166    -5.62328    -5.72792   0.0153623
         167     -5.4823    -5.72645   0.0153405
         168    -5.50843    -5.72516    0.015304
         169    -5.51711    -5.72392   0.0152629
         170    -5.47676    -5.72247   0.0152422
         171    -5.54412    -5.72143   0.0151887
         172     -5.4989    -5.72013   0.0151554
         173    -5.45689    -5.71861    0.015144
         174    -5.34904    -5.71649   0.0152052
         175    -5.28716    -5.71404   0.0153149
         176    -5.45747    -5.71258   0.0152972
         177    -5.42893    -5.71097   0.0152944
         178    -5.52152    -5.70991   0.0152455
         179    -5.48944    -5.70868     0.01521
         180    -5.50885    -5.70757    0.015166
         181     -5.4867    -5.70635   0.0151312
         182    -5.53823    -5.70542   0.0150762
         183    -5.49364    -5.70427   0.0150382
         184    -5.50544    -5.70319   0.0149952
         185    -5.57629     -5.7025   0.0149299
         186    -5.55698    -5.70172   0.0148701
         187    -5.55395    -5.70093   0.0148115
         188    -5.51104    -5.69992   0.0147672
         189    -5.55375    -5.69914   0.0147093
         190     -5.5475    -5.69835   0.0146535
         191    -5.58953    -5.69778   0.0145878
         192    -5.52138    -5.69686   0.0145408
         193    -5.58622    -5.69629   0.0144767
         194    -5.51146    -5.69533   0.0144334
         195    -5.47656    -5.69421   0.0144029
         196    -5.43426    -5.69288   0.0143904
         197    -5.32738    -5.69103   0.0144364
         198    -5.26067    -5.68886   0.0145262
         199     -5.2579    -5.68669   0.0146138
         200    -5.33366    -5.68492   0.0146469
         201    -5.40333    -5.68352   0.0146409
         202    -5.38869    -5.68206    0.014641
         203    -5.34445     -5.6804    0.014663
         204    -5.41553     -5.6791   0.0146485
         205    -5.52377    -5.67834   0.0145966
         206    -5.46573    -5.67731   0.0145622
         207    -5.47484    -5.67633   0.0145247
         208    -5.43066    -5.67515   0.0145028
         209    -5.31522    -5.67343   0.0145353
         210    -5.37617    -5.67202   0.0145348
         211     -5.3043    -5.67027   0.0145701
         212    -5.34973    -5.66876   0.0145796
         213    -5.37414    -5.66738   0.0145766
         214    -5.46457    -5.66643   0.0145392
         215    -5.55449    -5.66591   0.0144809
         216    -5.63265    -5.66576   0.0144147
         217    -5.52154    -5.66509   0.0143636
         218    -5.46787    -5.66419   0.0143262
         219    -5.53046    -5.66358   0.0142738
         220    -5.60251     -5.6633   0.0142116
         221    -5.53985    -5.66274   0.0141583
         222    -5.62888    -5.66259   0.0140953
         223    -5.55041    -5.66208   0.0140411
         224    -5.54911    -5.66158   0.0139874
         225    -5.40383    -5.66043   0.0139721
         226    -5.32294    -5.65894   0.0139899
         227    -5.37497    -5.65769    0.013984
         228    -5.42692    -5.65668   0.0139593
         229    -5.40054    -5.65556   0.0139431
         230    -5.35489    -5.65425   0.0139436
         231     -5.4311    -5.65329   0.0139167
         232    -5.46272    -5.65246   0.0138809
         233    -5.49118    -5.65177   0.0138386
         234    -5.39882    -5.65069   0.0138216
         235    -5.41988    -5.64971   0.0137976
         236    -5.48529    -5.64901   0.0137567
         237    -5.48677    -5.64833   0.0137157
         238    -5.53032    -5.64783    0.013667
         239     -5.4528    -5.64702   0.0136342
         240    -5.41248    -5.64604   0.0136124
         241    -5.37541    -5.64492   0.0136021
         242    -5.39021    -5.64386   0.0135866
         243    -5.52081    -5.64336   0.0135401
         244    -5.48707    -5.64272   0.0134997
         245    -5.45563    -5.64195   0.0134662
         246    -5.45969    -5.64121   0.0134319
         247    -5.44869    -5.64043   0.0134001
         248    -5.43548    -5.63961   0.0133715
         249    -5.41973    -5.63872   0.0133469
         250    -5.49545    -5.63815   0.0133058
         251    -5.47666    -5.63751   0.0132684
         252    -5.39201    -5.63653   0.0132514
         253    -5.37797    -5.63551   0.0132384
         254    -5.40187    -5.63459   0.0132182
         255    -5.40762     -5.6337   0.0131963
         256    -5.41197    -5.63283   0.0131731
         257    -5.40266    -5.63194   0.0131523
         258     -5.4249    -5.63114   0.0131258
         259    -5.42932    -5.63036   0.0130982
         260    -5.46834    -5.62973   0.0130626
         261    -5.45898    -5.62908    0.013029
         262    -5.49618    -5.62857   0.0129891
         263    -5.61736    -5.62853   0.0129398
         264    -5.53261    -5.62817   0.0128959
         265    -5.61123     -5.6281   0.0128474
         266    -5.54722     -5.6278   0.0128027
         267    -5.45756    -5.62716   0.0127706
         268    -5.60204    -5.62707   0.0127233
         269    -5.54278    -5.62675   0.0126798
         270    -5.44489    -5.62608   0.0126508
         271    -5.56767    -5.62586   0.0126059
         272    -5.64512    -5.62594   0.0125598
         273    -5.64113    -5.62599   0.0125139
