# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
     3.43872    0.133501    0.141157    0.005414
     3.49556    0.292089    0.318602   0.0187474
     3.55239    0.192391    0.154679   0.0266668
     3.60923     0.10149   0.0781131     0.01653
     3.66607   0.0813712   0.0870729   0.0040317
     3.72291   0.0561209     0.08691   0.0217712
     3.77975   0.0308706   0.0545733   0.0167604
     3.83659    0.018001   0.0494825   0.0222607
     3.89342   0.0333141   0.0647141   0.0222031
     3.95026   0.0184083   0.0382013   0.0139958
      4.0071   0.0760768   0.0465909   0.0208496
     4.06394   0.0633702   0.0465909   0.0118647
     4.12078   0.0743663   0.0484643   0.0183154
     4.17761   0.0790091   0.0956254   0.0117495
     4.23445   0.0272866   0.0556322   0.0200433
     4.29129    0.115174    0.112079  0.00218864
     4.34813    0.068013   0.0596641  0.00590356
     4.40497   0.0977432    0.125193   0.0194098
     4.46181   0.0909826   0.0863805  0.00325416
     4.51864   0.0442288    0.061008   0.0118647
     4.57548    0.101979    0.074407   0.0194962
     4.63232   0.0423554   0.0453691  0.00213104
     4.68916   0.0564467   0.0369388   0.0137942
       4.746   0.0155575   0.0128288  0.00192946
     4.80284   0.0182454   0.0108739  0.00521241
     4.85967  0.00472425  0.00940778  0.00331175
     4.91651   0.0509079   0.0317258   0.0135638
     4.97335   0.0151502   0.0140506 0.000777542
     5.03019  0.00692347  0.00981504  0.00204465
     5.08703  0.00407263  0.00297302 0.000777542
     5.14387  0.00399118  0.00199559   0.0014111
      5.2007  0.00122179 0.000610895 0.000431968
     5.25754           0           0           0
     5.31438           0           0           0
     5.37122           0           0           0
     5.42806           0           0           0
      5.4849           0           0           0
     5.54173           0           0           0
     5.59857           0           0           0
     5.65541           0           0           0
   0.0284191 0.000162905 0.000190056 5.86526e-05
   0.0852574 0.000162905 0.000352961 9.66307e-05
    0.142096 0.000244358 0.000515867 0.000221686
    0.198934 0.000162905  0.00181911 0.000980694
    0.255772   0.0046428   0.0146343  0.00910501
    0.312611  0.00700493   0.0127609  0.00675728
    0.369449  0.00733074    0.023214   0.0114414
    0.426287  0.00708638   0.0244629   0.0071173
    0.483126    0.037794   0.0519396   0.0187836
    0.539964   0.0499305   0.0592161  0.00839239
    0.596802   0.0562838   0.0541117  0.00559984
     0.65364   0.0539217   0.0657866  0.00512373
    0.710479   0.0601935   0.0832718   0.0154531
    0.767317    0.187585     0.15028   0.0212781
    0.824155    0.214383     0.16486   0.0295146
    0.880994    0.219026    0.157204   0.0299823
    0.937832     0.17944    0.158154   0.0100409
     0.99467   0.0983948    0.182563   0.0550465
     1.05151    0.111183    0.192391   0.0334139
     1.10835    0.133745    0.259752    0.053758
     1.16519    0.338273    0.255924   0.0349361
     1.22202    0.160543    0.224728   0.0382024
     1.27886    0.326462    0.318154   0.0497249
      1.3357    0.278731    0.250603   0.0126793
     1.39254    0.344626    0.300832   0.0454941
     1.44938     0.32296    0.415734   0.0392734
     1.50621    0.492707    0.438975   0.0593237
     1.56305    0.327847    0.390837    0.033349
     1.61989    0.622787    0.464633   0.0652069
     1.67673    0.278731    0.389154   0.0465141
     1.73357    0.346092    0.366754   0.0683129
     1.79041    0.567236    0.446849    0.049875
     1.84724      0.2938    0.364718   0.0515562
     1.90408    0.431699    0.438813   0.0247452
     1.96092    0.476172    0.419237    0.023331
     2.01776    0.449537    0.403462   0.0646361
      2.0746     0.45304    0.411146   0.0351413
     2.13144    0.567725    0.471665   0.0596623
     2.18827    0.528953    0.485051   0.0471402
     2.24511    0.442044    0.420567   0.0142482
     2.30195    0.476498    0.373488   0.0424009
     2.35879    0.485132    0.508237   0.0104562
     2.41563    0.594604    0.482824   0.0456409
     2.47247    0.413779    0.400693   0.0056516
      2.5293     0.32019     0.45103   0.0545518
     2.58614    0.290216    0.340554   0.0286527
     2.64298    0.186852    0.325838    0.059186
     2.69982    0.357659    0.270803    0.036603
     2.75666    0.418585    0.341395   0.0328595
      2.8135    0.362464    0.389018   0.0126739
     2.87033    0.266187     0.29065   0.0130186
     2.92717    0.223832    0.245335   0.0157003
     2.98401    0.241181    0.258232   0.0108573
     3.04085    0.183106    0.264965    0.036999
     3.09769     0.19011    0.195486   0.0176461
     3.15453    0.142705    0.206564   0.0444618
     3.21136    0.166571    0.246802   0.0327595
      3.2682     0.14523    0.157122   0.0127131
     3.32504   0.0972545    0.177757    0.041002
     3.38188    0.165186    0.161249  0.00636887
     3.43872    0.186445    0.156253   0.0128433
     3.49556    0.129184    0.255463   0.0530465
     3.55239    0.115907    0.141755   0.0206737
     3.60923    0.201107    0.119111   0.0352419
     3.66607   0.0949738   0.0897065  0.00344214
     3.72291   0.0926117   0.0888105   0.0145968
     3.77975    0.103608   0.0709181   0.0174055
     3.83659    0.148733   0.0825658   0.0308206
     3.89342    0.094648   0.0746921    0.016896
     3.95026    0.111101   0.0625013   0.0219253
      4.0071    0.167467   0.0868828   0.0357141
     4.06394   0.0897608   0.0609809   0.0141638
     4.12078   0.0695606   0.0554964   0.0134929
     4.17761   0.0851995   0.0921501  0.00833115
     4.23445   0.0514781   0.0542475     0.01341
     4.29129    0.159647    0.127935   0.0130284
     4.34813   0.0481385   0.0558222  0.00503286
     4.40497    0.145312    0.131899   0.0140507
     4.46181    0.131465    0.101409   0.0124606
     4.51864   0.0526184   0.0582115  0.00823279
     4.57548    0.040482   0.0630986   0.0159432
     4.63232   0.0338028   0.0415137  0.00345368
     4.68916  0.00439844    0.026092   0.0127673
       4.746  0.00570169   0.0104531  0.00232749
     4.80284  0.00390973  0.00855253  0.00395826
     4.85967   0.0101001  0.00963856  0.00221586
     4.91651  0.00285084   0.0221008   0.0119803
     4.97335 0.000570169  0.00955711  0.00370534
     5.03019  0.00496861  0.00819957  0.00189681
     5.08703  0.00130324  0.00241643 0.000689369
     5.14387 0.000733074  0.00157475  0.00100152
      5.2007           0 0.000407263 0.000332529
     5.25754           0           0           0
     5.31438           0           0           0
     5.37122           0           0           0
     5.42806           0           0           0
      5.4849           0           0           0
     5.54173           0           0           0
     5.59857           0           0           0
     5.65541           0           0           0
   0.0284191           0 0.000142542  6.0235e-05
   0.0852574           0 0.000264721 0.000105319
    0.142096           0   0.0003869 0.000200295
    0.198934           0  0.00136433 0.000834331
    0.255772  0.00195486   0.0114645  0.00735989
    0.312611   0.0030952   0.0103445  0.00548302
    0.369449   0.0142542   0.0209741  0.00879757
    0.426287   0.0197115   0.0232751  0.00543619
    0.483126   0.0153945   0.0428034   0.0161576
    0.539964   0.0276939   0.0513355  0.00928414
    0.596802   0.0341287   0.0491159   0.0060297
     0.65364    0.102223   0.0748957  0.00877492
    0.710479   0.0741219   0.0809843   0.0117579
    0.767317   0.0846293    0.133867   0.0213708
    0.824155    0.178137    0.168179   0.0223218
    0.880994    0.303981    0.193898   0.0389296
    0.937832    0.198744    0.168302   0.0115733
     0.99467     0.21251    0.190049   0.0417909
     1.05151    0.212184    0.197339   0.0254242
     1.10835    0.250711    0.257492    0.040366
     1.16519    0.200536    0.242077   0.0288158
     1.22202     0.14352    0.204426   0.0336163
     1.27886    0.194265    0.287182   0.0459378
      1.3357    0.317095    0.267226   0.0172533
     1.39254    0.428278    0.332693   0.0438815
     1.44938    0.310986    0.389547   0.0371742
     1.50621    0.299583    0.404127   0.0537624
     1.56305    0.326136    0.374662   0.0286673
     1.61989    0.486598    0.470124   0.0491358
     1.67673    0.334933    0.375599   0.0368077
     1.73357    0.461755    0.390504   0.0552091
     1.79041    0.531153    0.467925   0.0416218
     1.84724    0.447419    0.385393   0.0426116
     1.90408    0.400503    0.429235    0.020328
     1.96092    0.460778    0.429622   0.0196743
     2.01776    0.385352    0.398935   0.0486354
      2.0746    0.317258    0.387674   0.0332842
     2.13144    0.388773    0.450942   0.0482115
     2.18827    0.421355    0.469127   0.0379496
     2.24511    0.451248    0.428237   0.0125824
     2.30195    0.571553    0.423004   0.0533872
     2.35879    0.580839    0.526388   0.0175663
     2.41563     0.53604    0.496128   0.0361176
     2.47247    0.436912    0.409748  0.00891397
      2.5293    0.282804    0.408974    0.054777
     2.58614    0.312534    0.333549   0.0223294
     2.64298    0.455809    0.358331   0.0525572
     2.69982    0.344219    0.289157   0.0317219
     2.75666    0.424368    0.362138   0.0304971
      2.8135    0.450433    0.404372   0.0163449
     2.87033    0.387633    0.314896   0.0231566
     2.92717     0.29885    0.258714   0.0165196
     2.98401     0.23833    0.253257  0.00921268
     3.04085    0.152805    0.236925   0.0368742
     3.09769    0.198663    0.196281   0.0132524
     3.15453    0.138307      0.1895   0.0364743
     3.21136    0.148162    0.222142   0.0325537
      3.2682     0.15476    0.156532  0.00954849
     3.32504    0.134315    0.166896   0.0321577
     3.38188     0.11045    0.148549   0.0119909
     3.43872     0.21308     0.17046   0.0156255
     3.49556    0.158262    0.231163   0.0450078
     3.55239   0.0960327    0.130324   0.0183958
     3.60923    0.103771    0.115276   0.0266392
     3.66607   0.0803123    0.087358  0.00328655
     3.72291    0.136678    0.100777   0.0150749
     3.77975    0.105726     0.07962   0.0150732
     3.83659    0.106703   0.0886001   0.0236988
     3.89342    0.133664    0.089435   0.0179888
     3.95026    0.110043   0.0743866   0.0193997
      4.0071    0.131465   0.0980283   0.0284716
     4.06394   0.0891906   0.0680333   0.0122535
     4.12078    0.104504   0.0677482   0.0146625
     4.17761    0.104341   0.0951978  0.00678294
     4.23445   0.0857696    0.062128   0.0121544
     4.29129   0.0483014    0.108027   0.0198176
     4.34813   0.0377126   0.0512948  0.00544252
     4.40497   0.0303818     0.10652   0.0243748
     4.46181   0.0469982    0.087806    0.015037
     4.51864    0.025006   0.0499101  0.00947683
     4.57548   0.0127881    0.050521   0.0161749
     4.63232  0.00790091   0.0331105  0.00772462
     4.68916  0.00228067   0.0201392    0.010875
       4.746   0.0528628   0.0210555  0.00934642
     4.80284   0.0144171   0.0100187  0.00322883
     4.85967  0.00407263  0.00824708  0.00205282
     4.91651  0.00342101   0.0174309  0.00985346
     4.97335  0.00879689  0.00936705  0.00278388
     5.03019  0.00741219  0.00800272  0.00143278
     5.08703  0.00610895  0.00333956 0.000952073
     5.14387   0.0672799    0.018001   0.0142454
      5.2007  0.00969286  0.00272866   0.0020258
     5.25754  0.00814526  0.00203632   0.0017635
     5.31438  0.00325811 0.000814526 0.000705401
     5.37122 0.000325811 8.14526e-05 7.05401e-05
     5.42806 0.000325811 8.14526e-05 7.05401e-05
      5.4849  0.00374682 0.000936705 0.000811211
     5.54173    0.029323  0.00733074  0.00634861
     5.59857  0.00488716  0.00122179   0.0010581
     5.65541           0           0           0
   0.0284191           0 0.000114034 5.45185e-05
   0.0852574           0 0.000211777  9.6651e-05
    0.142096 0.000570169 0.000423554 0.000163556
    0.198934 0.000651621  0.00122179 0.000679532
    0.255772   0.0109961   0.0113708  0.00588851
    0.312611   0.0118106   0.0106377  0.00439425
    0.369449  0.00985577   0.0187504  0.00731368
    0.426287   0.0060275   0.0198256  0.00533224
    0.483126   0.0307891   0.0404005   0.0131035
    0.539964    0.108658      0.0628   0.0126614
    0.596802   0.0886205   0.0570169  0.00855617
     0.65364   0.0722485   0.0743663  0.00703589
    0.710479   0.0755066   0.0798888  0.00945722
    0.767317   0.0840591    0.123906    0.019279
    0.824155    0.120876    0.158719   0.0197609
    0.880994   0.0940778    0.173934   0.0358996
    0.937832    0.295184    0.193678   0.0245132
     0.99467    0.200211    0.192082   0.0334821
     1.05151    0.201188    0.198109    0.020351
     1.10835    0.235887    0.253171   0.0325233
     1.16519      0.2288    0.239422   0.0231747
     1.22202    0.377289    0.238998   0.0409811
     1.27886    0.402132    0.310172   0.0421119
      1.3357    0.341042    0.281989   0.0191017
     1.39254    0.375334    0.341221   0.0359243
     1.44938    0.226683    0.356974    0.041632
     1.50621    0.201758    0.363653   0.0562171
     1.56305    0.307647    0.361259   0.0258781
     1.61989    0.424042    0.460908   0.0401637
     1.67673    0.437727    0.388024   0.0314737
     1.73357    0.581653    0.428734   0.0558567
     1.79041    0.620018    0.498344   0.0429994
     1.84724    0.637937    0.435902    0.056595
     1.90408    0.538239    0.451036   0.0253907
     1.96092    0.481711     0.44004   0.0182908
     2.01776    0.440252    0.407198   0.0396041
      2.0746      0.4093    0.391999   0.0269069
     2.13144    0.446198    0.449993   0.0385785
     2.18827    0.360102    0.447322   0.0360842
     2.24511    0.288424    0.400275   0.0269602
     2.30195    0.475683     0.43354    0.043737
     2.35879    0.183106    0.457731   0.0629957
     2.41563    0.349269    0.466756   0.0390517
     2.47247    0.392846    0.406367  0.00774563
      2.5293    0.336155     0.39441   0.0457167
     2.58614     0.42559    0.351957    0.024294
     2.64298    0.409137    0.368492   0.0430168
     2.69982     0.31734    0.294793   0.0258734
     2.75666    0.316444    0.352999   0.0257306
      2.8135     0.18726    0.360949   0.0409803
     2.87033    0.333874    0.318692   0.0188338
     2.92717     0.20412    0.247795   0.0164325
     2.98401    0.135374     0.22968   0.0223383
     3.04085    0.117292    0.212999   0.0364445
     3.09769    0.142542    0.185533   0.0143112
     3.15453    0.256006    0.202801   0.0315115
     3.21136    0.270993    0.231912     0.02747
      3.2682    0.230104    0.171246   0.0152172
     3.32504    0.340554    0.201628   0.0403342
     3.38188    0.175368    0.153913   0.0107254
     3.43872    0.165512     0.16947   0.0125317
     3.49556    0.153294    0.215589   0.0386068
     3.55239    0.137166    0.131693   0.0147675
     3.60923    0.112323    0.114685   0.0213179
     3.66607    0.116885   0.0932633   0.0059001
     3.72291    0.264069    0.133436   0.0316022
     3.77975    0.332082    0.130112    0.046744
     3.83659    0.125926   0.0960652   0.0201005
     3.89342    0.135211   0.0985903   0.0165577
     3.95026   0.0736332   0.0742359   0.0155204
      4.0071   0.0480571    0.088034   0.0244686
     4.06394   0.0724929   0.0689252  0.00983517
     4.12078     0.04822   0.0638426   0.0122391
     4.17761   0.0202003   0.0801983   0.0144718
     4.23445   0.0100187   0.0517061   0.0134699
     4.29129    0.040482   0.0945176   0.0199335
     4.34813   0.0304633   0.0471285  0.00573096
     4.40497   0.0240285   0.0900215    0.024454
     4.46181   0.0178381   0.0738124   0.0173599
     4.51864   0.0105888   0.0420459   0.0103419
     4.57548   0.0193043   0.0442777   0.0140934
     4.63232   0.0270423   0.0318969  0.00627431
     4.68916   0.0298117   0.0220737  0.00887043
       4.746  0.00969286    0.018783  0.00774849
     4.80284  0.00708638  0.00943222  0.00263579
     4.85967  0.00676057  0.00794978  0.00166365
     4.91651  0.00105888   0.0141565  0.00840924
     4.97335  0.00952996  0.00939964  0.00222729
     5.03019  0.00358392  0.00711896  0.00139236
     5.08703  0.00325811  0.00332327 0.000761798
     5.14387 0.000651621   0.0145312   0.0118114
      5.2007    0.124297   0.0270423   0.0218071
     5.25754  0.00895979  0.00342101   0.0018773
     5.31438   0.0060275  0.00185712  0.00108998
     5.37122  0.00659766  0.00138469  0.00116702
     5.42806   0.0114848  0.00236213  0.00204068
      5.4849   0.0075751  0.00226438  0.00135327
     5.54173           0  0.00586459  0.00524545
     5.59857           0 0.000977432 0.000874242
     5.65541           0           0           0
   0.0284191           0 9.50281e-05 4.86322e-05
   0.0852574 0.000325811 0.000230782   8.239e-05
    0.142096 0.000407263 0.000420839 0.000136319
    0.198934 0.000570169  0.00111319  0.00057489
    0.255772  0.00961141   0.0110776  0.00491438
    0.312611   0.0179196   0.0118514  0.00382581
    0.369449   0.0221551   0.0193179  0.00611671
    0.426287   0.0873987   0.0310878   0.0112001
    0.483126   0.0580757   0.0433464   0.0112459
    0.539964   0.0675242   0.0635874   0.0105757
    0.596802   0.0609266   0.0576685  0.00715491
     0.65364   0.0665468    0.073063  0.00598272
    0.710479   0.0939149   0.0822264  0.00816483
    0.767317    0.200211    0.136623   0.0198215
    0.824155     0.17553    0.161521   0.0166649
    0.880994    0.182617    0.175381   0.0299455
    0.937832    0.104259    0.178775   0.0245434
     0.99467    0.407915    0.228054   0.0430911
     1.05151    0.188889    0.196572   0.0170171
     1.10835    0.261382     0.25454   0.0271315
     1.16519     0.33754    0.255775   0.0244093
     1.22202    0.323041    0.253005   0.0364662
     1.27886    0.383153    0.322335    0.036808
