#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.69189     2.69189           0
           2     2.69224     2.69206 0.000122841
           3     2.69164     2.69192 0.000141799
           4     2.69199     2.69194 0.000107241
           5     2.69145     2.69184 0.000122962
           6     2.69122     2.69174 0.000139441
           7     2.69132     2.69168 0.000131788
           8     2.69063     2.69155 0.000168162
           9     2.68853     2.69121 0.000349781
          10     2.68638     2.69073 0.000555702
