1 3.17965  0
2 3.14806  0
3 3.14858  0.0182434
4 3.16079  0.0177663
5 3.16889  0.0159671
6 3.15714  0.0175528
7 3.14687  0.0180444
8 3.15804  0.01921
9 3.15683  0.016985
10 3.1534  0.0155735
11 3.14927  0.0146788
12 3.15223  0.0137215
13 3.1507  0.0127143
14 3.14991  0.0117972
15 3.15156  0.0111053
16 3.14975  0.0105449
17 3.15407  0.0108068
18 3.15144  0.0105218
19 3.14561  0.0115345
20 3.14464  0.0109854
21 3.1495  0.0115252
22 3.14856  0.0110296
23 3.14844  0.0105398
24 3.14601  0.0103807
25 3.1417  0.010848
26 3.14017  0.0105338
27 3.13818  0.0103298
28 3.13903  0.00999051
29 3.13855  0.009652
30 3.1381  0.00933565
31 3.13632  0.00920367
32 3.13351  0.00934336
33 3.13487  0.00915735
34 3.13436  0.00889829
35 3.13466  0.00864531
36 3.13405  0.00842356
37 3.13394  0.00819351
38 3.13537  0.0081033
39 3.13593  0.00791236
40 3.13463  0.00782036
41 3.13401  0.0076524
42 3.13354  0.00748308
43 3.13438  0.00735488
44 3.13596  0.00735718
45 3.13631  0.00720076
46 3.13687  0.00706468
47 3.13752  0.00694251
48 3.1371  0.00680887
49 3.13711  0.00666847
50 3.1375  0.00654592
51 3.13676  0.00645925
52 3.13742  0.00636761
53 3.13721  0.00624988
54 3.13834  0.00623795
55 3.13788  0.00614101
56 3.13818  0.00603772
57 3.13784  0.00594048
58 3.137  0.00589807
59 3.13552  0.00598205
60 3.13586  0.00589123
61 3.1361  0.00579906
62 3.13589  0.00570894
63 3.13727  0.00578606
64 3.13725  0.00569497
65 3.13756  0.00561495
66 3.13759  0.00552931
67 3.13824  0.00548442
68 3.13875  0.00542777
69 3.13884  0.00534921
70 3.13841  0.0052892
71 3.13928  0.00528583
72 3.1391  0.00521506
73 3.13822  0.00521856
74 3.13952  0.0053109
75 3.13891  0.0052753
76 3.13922  0.00521433
77 3.13867  0.00517505
78 3.13851  0.00511076
79 3.13808  0.00506411
80 3.13852  0.0050198
81 3.13887  0.00496995
82 3.13813  0.00496458
83 3.13869  0.00493641
84 3.13878  0.00487804
85 3.13864  0.00482216
86 3.13827  0.00478012
87 3.13862  0.00473746
88 3.13862  0.00468332
89 3.13939  0.004695
90 3.13993  0.0046729
91 3.14022  0.00463087
92 3.1405  0.0045887
93 3.1394  0.00467007
94 3.13917  0.00462589
95 3.13876  0.00459588
96 3.13836  0.00456493
97 3.13867  0.00452817
98 3.13853  0.0044839
99 3.13912  0.00447809
100 3.1399  0.00450049
